Unnamed: 0,content,score,appVersion,content_process,result,sentiment,proba,inferred_topic,inferred_probability
0,"Bagus bisa membantu masyarakat , khususnya ttg produk Bank DANAMON.👍👍👍",5,1.4.1,bagus bantu masyarakat ttg produk bank danamon,"[{'label': 'positive', 'score': 0.9966253042221069}]",positive,0.9966253042221068,User Experience,0.7026879
1,Sangat membantu,5,1.4.1,bantu,"[{'label': 'positive', 'score': 0.9959172606468201}]",positive,0.99591726064682,User Experience,0.59962064
2,"Ini gimana sih? Kwkwkwk, udah daftar dan udah berhasil, disuruh login tapi salah terus, padahal udh bener email dan passwordnya, terus penasaran coba daftar lagi terus ada notif sudah terdaftar dan disuruh login, eh pas login GABISA LAGI, KOCAK!",3,1.4.1,gimana sih kwkwkwk udah daftar udah hasil suruh login salah udh bener email passwordnya penasaran coba daftar notif daftar suruh login eh pas login gabisa kocak,"[{'label': 'negative', 'score': 0.9980393052101135}]",negative,0.9980393052101136,Questions and Engagement,0.7011363
3,Ok,5,1.4.1,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342,App Features,0.5999488
4,Knpa y kemaren ada potongan lagi dari prima Bank Central Asia gede lagi ngambillnya mohon penjelasannya,1,,knpa kemaren potong prima bank central asia gede ngambillnya mohon jelas,"[{'label': 'neutral', 'score': 0.9930198788642883}]",neutral,0.9930198788642884,Questions and Engagement,0.4911117
5,👍👍👍🙏🙏,5,1.4.1,,"[{'label': 'positive', 'score': 0.9920133948326111}]",positive,0.9920133948326112,User Experience,0.2
6,Aplikasi ini kurang bagus bagi saya transfer gagal saldo tidak kembali,1,1.4.1,aplikasi bagus transfer gagal saldo,"[{'label': 'negative', 'score': 0.9991621971130371}]",negative,0.9991621971130372,User Experience,0.8360751
7,Nyesel pakai apk ini. User sm pasword benar tp tetap gk bisa login. Hapus aja,1,1.4.1,nyesel pakai apk user sm pasword tp gk login hapus aja,"[{'label': 'negative', 'score': 0.9903087019920349}]",negative,0.9903087019920348,Opinion on Banking App,0.9314889
8,Apakah bisa bayar tagihan indihome di aplikasi ini,5,1.4.1,bayar tagih indihome aplikasi,"[{'label': 'neutral', 'score': 0.9989928603172302}]",neutral,0.9989928603172302,Questions and Engagement,0.73110664
9,mantappppp.. sukses sll...,5,1.4.1,mantappppp sukses sll,"[{'label': 'positive', 'score': 0.8711854219436646}]",positive,0.8711854219436646,Questions and Engagement,0.7329138
10,Keren pokok nya,5,1.4.0,keren pokok nya,"[{'label': 'positive', 'score': 0.9930825233459473}]",positive,0.9930825233459472,Questions and Engagement,0.45458296
11,lemot,2,1.4.1,lot,"[{'label': 'negative', 'score': 0.9974468946456909}]",negative,0.9974468946456908,Mixed Feedback and Technical Issues,0.59869117
12,"Masalah sudah terselesaikan. maaf, dan terimakasih.",5,1.4.1,selesai maaf terimakasih,"[{'label': 'neutral', 'score': 0.8626763820648193}]",neutral,0.8626763820648193,Mixed Feedback and Technical Issues,0.7973909
13,"Hallo Danamon, klau sy Telp Banking sy bisa Aktif ga ? ( Sy mau buka Pin yg ke Blokir )",2,1.4.1,hallo danamon klau sy telp banking sy aktif ga sy buka pin yg blokir,"[{'label': 'neutral', 'score': 0.9985552430152893}]",neutral,0.9985552430152892,Opinion on Banking App,0.94543177
14,Gara gara cuman tanda tangan beda dikit Ganti kartu atm malah ngak jadi Udah gitu duit malah anguss,1,,gara gara cuman tanda tangan beda dikit ganti kartu atm ngak udah gitu duit anguss,"[{'label': 'negative', 'score': 0.9986943602561951}]",negative,0.9986943602561952,Opinion on Banking App,0.7645543
15,Proses aktivasi tdk memiliki Batas,5,1.4.1,proses aktivasi tdk milik batas,"[{'label': 'neutral', 'score': 0.7690924406051636}]",neutral,0.7690924406051636,Mixed Feedback and Technical Issues,0.5310217
16,Mntap,5,1.4.1,mntap,"[{'label': 'negative', 'score': 0.8630099892616272}]",negative,0.8630099892616272,Mixed Feedback and Technical Issues,0.5999787
17,"Akun udah terdaftar tapi pas mau login eh malah kata sandi yg salah padahal kata sandi udah benar,tolong hapus data saya kalau terjadi apa² saya tidak bertanggung jawab dan yg parah lagi akun saya terkunci bacaannya",1,1.4.1,akun udah daftar pas login eh sandi yg salah sandi udah tolong hapus data tanggung yg parah akun kunci baca,"[{'label': 'negative', 'score': 0.9955636262893677}]",negative,0.9955636262893676,Questions and Engagement,0.80750144
18,Test dulu bos quuu,4,1.4.1,test bos quuu,"[{'label': 'neutral', 'score': 0.9923036098480225}]",neutral,0.9923036098480223,App Features,0.5976246
19,Memudahkan segala transaksi dan pembelian apapun melalui m-banking,5,1.4.0,mudah transaksi beli apa banking,"[{'label': 'positive', 'score': 0.9877026677131653}]",positive,0.9877026677131652,User Experience,0.5230538
20,Bukannya memudahkan malah bikin sulit.... kenapa tidak ikut aplikasi BCA yg mudah untuk di gunakan mulai dengan cara aktivasi juga cara penyelesaian masalah....hanya nama mobile banking tapi jika ada masalah tidak dapat di selesaikan secara mobile,1,1.4.0,mudah bikin sulit aplikasi bca yg mudah aktivasi selesai nama mobile banking selesai mobile,"[{'label': 'negative', 'score': 0.9676169157028198}]",negative,0.9676169157028198,App Features,0.47246957
21,Tolonglah ini kenapa error mulu sihh?-_-,2,1.4.1,tolong error mulu sihh,"[{'label': 'negative', 'score': 0.998180627822876}]",negative,0.998180627822876,Mixed Feedback and Technical Issues,0.79674184
22,Tidak bisa melakukan transaksi transfer... Tolong di perbaiki,2,1.4.1,transaksi transfer tolong baik,"[{'label': 'neutral', 'score': 0.9987121820449829}]",neutral,0.9987121820449828,Opinion on Banking App,0.8364687
23,Terima kasih Danamon akhirnya sudah bisa diatasi sangat cepat hanya butuh satu hari saja selebihnya bagus intinya proses cepat admin pemeroses Ramah sangat jelas menerangkan dan menjelaskan kesalahan dan perbaikan 🙏the best aplikasi bank,5,1.4.1,terima kasih danamon atas cepat butuh lebih bagus inti proses cepat admin pemeroses ramah terang salah baik the best aplikasi bank,"[{'label': 'positive', 'score': 0.9989218711853027}]",positive,0.9989218711853028,Opinion on Banking App,0.32891604
24,Hari ini 01 Agustus 2023 apakah ada bug? Ga bisa scrol kebawah. Di aplikasi lain bisa ko.. cepet perbaiki woyy.. mau TF ini,1,1.4.1,agustus bug ga scrol bawah aplikasi ko cepet baik woyy tf,"[{'label': 'negative', 'score': 0.5044921040534973}]",negative,0.5044921040534973,Mixed Feedback and Technical Issues,0.46481684
25,"Telepon customer service malah nyolot, saya bilang nanti saya lapor anda atas pelayanan yang buruk, malah jadi baik lagi Udah jelek pelayanan offline nya, ditambah pelayanan online nya pun jelek juga Parah banget ini danamon Kalo bukan rekening payroll Udah males pake danamon",1,1.4.1,telepon customer service nyolot bilang lapor layan buruk udah jelek layan offline nya tambah layan online nya jelek parah banget danamon kalo rekening payroll udah males pake danamon,"[{'label': 'negative', 'score': 0.9995495676994324}]",negative,0.9995495676994324,Opinion on Banking App,0.51966786
26,Lengkap bisa topup ewalet,5,1.4.1,lengkap topup ewalet,"[{'label': 'positive', 'score': 0.9935717582702637}]",positive,0.9935717582702636,Questions and Engagement,0.67103225
